inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.943943249,0.838628161,0.971256075,0.825390143,0.832455712,0.781884091,0.875091938,0.8662604,0.332455712
0.745565924,1.02121089,0.678595052,1.007129447,0.754053985,1.013418361,0.760168895,1.005619721,0.254053985
0.857102721,0.943051936,0.804089574,0.897330232,0.317233209,0.663130052,0.887700363,0.91068136,0.182766791
0.675369937,0.948175483,0.457845769,0.889804963,0.448985809,0.873317779,0.642204966,0.954093549,0.051014191
0.608295159,0.84780816,0.391017992,0.715819079,0.466907592,0.771947787,0.608747232,0.865521051,0.033092408
0.5623581,0.741530379,0.564585195,0.716756558,0.572163128,0.718988514,0.564093514,0.75911436,0.072163128
0.751579418,0.927556139,0.628168931,0.910784725,0.547184088,0.893848277,0.775058063,0.965469945,0.047184088
0.651542021,0.834956942,0.455209728,0.788654235,0.37386086,0.756965484,0.652642691,0.826588621,0.12613914
1.023612382,0.821536792,0.994380507,0.810592275,1.051209522,0.825454591,0.985663476,0.848072628,0.551209522
0.730682343,0.763443453,0.559550765,0.633471366,0.454341756,0.661929609,0.769815562,0.7572931,0.045658244
0.698500899,0.760942479,0.605012396,0.734300998,0.495727918,0.698856501,0.694229034,0.759689588,0.004272082
0.730126224,0.730714502,0.67703486,0.70945262,0.711877179,0.700169923,0.758025524,0.747175493,0.211877179
0.875351103,0.909361347,0.983898761,0.951724019,0.801613148,0.878110056,0.869180339,0.913048462,0.301613148
1.036607324,0.858423419,0.87158385,0.817342856,0.994861764,0.843537112,1.018162904,0.821355459,0.494861764
0.965533511,0.868518295,0.867568891,0.806996214,0.806962003,0.856106528,0.987853963,0.874761141,0.306962003
0.843616166,0.719047913,0.472471392,0.545607889,0.635512909,0.636452235,0.827759926,0.65984144,0.135512909
1.01066314,0.984042433,0.889969181,0.931099315,1.038892859,0.996475797,1.035594051,1.003267194,0.538892859
0.700387815,0.896001392,0.637476939,0.837108258,0.651300674,0.872175892,0.698118133,0.895668526,0.151300674
1.012881184,0.881530547,1.007472038,0.859590468,0.922906646,0.850486099,1.028938092,0.889153876,0.422906646
0.739422195,0.877402524,0.538117939,0.813416752,0.531991232,0.799994694,0.710083426,0.935701332,0.031991232
0.802049768,0.762713242,0.694947143,0.753917973,0.569636965,0.756489288,0.80374912,0.790648572,0.069636965
0.753434553,0.921293983,0.270666724,0.764215877,0.373820835,0.802908508,0.722941813,0.910616868,0.126179165
0.722150586,0.87818555,0.419781561,0.784750424,0.712260722,0.87450737,0.710855958,0.880765229,0.212260722
0.978879624,0.783666596,0.68775579,0.658973913,0.888063624,0.734582226,1.007202269,0.789932149,0.388063624
1.169486222,0.65379615,1.059765041,0.588697066,1.088597698,0.645132681,1.185542726,0.718823764,0.588597698
1.25128813,0.695940573,0.868885359,0.602494435,0.856104121,0.604992255,1.268637577,0.7056012,0.356104121
0.751793466,0.896708696,0.411139239,0.817531663,0.534204759,0.882018933,0.804504255,0.87937733,0.034204759
0.765617562,0.870534476,0.36826497,0.797491161,0.43776965,0.778934329,0.75296847,0.896791202,0.06223035
0.690967058,1.003438357,0.521392064,0.982612712,0.597929714,0.949340912,0.714782316,0.997312848,0.097929714
0.514508252,0.845378126,0.322038473,0.773569867,0.437901785,0.825612981,0.446717741,0.897129184,0.062098215
0.855099075,0.747412764,0.672470246,0.665142004,0.661617373,0.696202132,0.798989319,0.772200545,0.161617373
0.851849662,0.901774963,0.659770817,0.835131124,0.635426231,0.841146488,0.774309559,0.896340404,0.135426231
0.767624152,0.878878007,0.247442192,0.71943043,0.450880833,0.823570024,0.771211032,0.845811211,0.049119167
0.91057737,0.851140128,0.564916055,0.767425607,0.747269636,0.806105071,0.870515912,0.822471094,0.247269636
0.812316494,0.795911352,0.583607347,0.612910647,0.551464122,0.689887673,0.831167477,0.777878032,0.051464122
0.76955794,0.817432698,0.747114094,0.714148992,0.677064397,0.740618675,0.723838519,0.766093313,0.177064397
0.454641071,0.846548253,0.408960603,0.843511595,0.284106074,0.781767147,0.465474926,0.831530429,0.215893926
0.691462819,0.779712695,0.531073319,0.719721027,0.529143987,0.717764197,0.730806889,0.761806448,0.029143987
1.055453223,0.740522641,0.883765501,0.702929353,0.622701822,0.574461831,1.04830549,0.744756892,0.122701822
0.866100797,0.715441772,0.865876071,0.69655547,0.729895096,0.669848642,0.854696099,0.723602536,0.229895096
