inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.823317649,0.699874525,0.825612099,0.676230894,0.730532923,0.665415905,0.803423685,0.766300856,0.230532923
1.039536911,0.715688541,0.673354381,0.583205916,0.766058476,0.600998964,1.072995408,0.725651352,0.266058476
0.65415196,0.908440228,0.570180536,0.836066885,0.567297237,0.824192981,0.671404349,0.893770928,0.067297237
0.60493916,0.891803136,0.461542201,0.80289711,0.531785864,0.861700325,0.600620828,0.918728096,0.031785864
0.563546877,1.032829973,0.47373699,1.022494408,0.480357645,1.0112595,0.592192464,1.025622113,0.019642355
0.204751037,0.881048001,0.129094874,0.796841861,0.134836744,0.839119846,0.187007743,0.93164941,0.365163256
0.724608255,0.747219893,0.571967186,0.699219882,0.562944933,0.703381496,0.691544978,0.773185436,0.062944933
0.575683643,0.916418557,0.465736283,0.885432238,0.413444021,0.861715303,0.520810768,0.911691762,0.086555979
0.687397548,0.86764159,0.648707945,0.853115494,0.525184616,0.792465506,0.687281179,0.835146812,0.025184616
0.802051758,0.849446501,0.622675172,0.780684821,0.603438654,0.791607238,0.788710785,0.814066013,0.103438654
0.782153334,0.813133784,0.666799153,0.717455549,0.660520433,0.727771226,0.775117082,0.798163732,0.160520433
0.621075136,0.832973759,0.508931308,0.687420852,0.565125296,0.71944279,0.623635627,0.774415878,0.065125296
0.485623862,0.843434146,0.480092447,0.842688521,0.356514799,0.76831864,0.495354914,0.828466643,0.143485201
0.687697109,0.785586241,0.684354949,0.750210664,0.704465919,0.785170935,0.69041072,0.7681298,0.204465919
0.896622916,0.748882566,0.719622746,0.67204219,0.739564483,0.665371084,0.896010615,0.752168535,0.239564483
0.863593105,0.736964865,0.845608061,0.780876377,0.665309426,0.654301947,0.832747531,0.744795569,0.165309426
0.80388369,0.768556079,0.77470385,0.753582478,0.576324905,0.689486362,0.774180664,0.760475819,0.076324905
0.729048737,0.856237183,0.647750367,0.816025793,0.480480366,0.756584148,0.714375153,0.878918053,0.019519634
0.596043653,0.838736089,0.319708511,0.72309729,0.267581559,0.694411055,0.575129469,0.818221807,0.232418441
0.649916142,0.858321396,0.61991212,0.804929319,0.472404382,0.784369317,0.635470696,0.835377088,0.027595618
0.742075155,0.845414114,0.510303479,0.74829038,0.57743974,0.802471269,0.735871843,0.867864366,0.07743974
0.566524213,0.752976132,0.562377497,0.734751256,0.538305972,0.715382786,0.579778673,0.751677787,0.038305972
0.823248689,0.640333449,0.64993986,0.552857109,0.681827725,0.59860544,0.807838233,0.621977536,0.181827725
0.673419038,0.882330245,0.654722665,0.865331193,0.64761522,0.915448031,0.66387518,0.871590114,0.14761522
0.564591365,0.867199691,0.410074965,0.859028627,0.523559724,0.820130248,0.562926494,0.871432977,0.023559724
0.592123519,0.730920941,0.502237016,0.699308863,0.487145796,0.683351263,0.614696103,0.734239261,0.012854204
0.704824528,0.904537994,0.733963097,0.918744079,0.698231578,0.87982432,0.741800657,0.873524179,0.198231578
0.866086946,0.802036549,0.703170039,0.707946843,0.623620538,0.687660201,0.880757966,0.796922147,0.123620538
0.93686889,0.971447669,0.879640483,0.94022797,0.949705756,0.983409653,0.934273058,0.983768912,0.449705756
0.7919601,0.764856136,0.557561673,0.61160983,0.54378869,0.610726424,0.801596888,0.747238953,0.04378869
0.867775895,0.833047704,0.721697361,0.779468152,0.713789948,0.767129701,0.861078404,0.833844745,0.213789948
0.754920485,0.823551871,0.459063748,0.701136214,0.513934492,0.735999306,0.766698197,0.829168403,0.013934492
